dataset,algorithm,n_samples,n_clusters,ari,nmi,purity,silhouette,calinski_harabasz,davies_bouldin,runtime_seconds,parameters,k,numlocal,maxneighbor,random_state
jain,CLARANS,373,2,0.5070659530255524,0.500287941251291,0.8579088471849866,0.5011885506698371,484.03989156777203,0.8021554593656963,0.02646289998665452,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 1, ""random_state"": 42}",2,1,60,42
jain,CLARANS,373,2,0.5070659530255524,0.500287941251291,0.8579088471849866,0.5011885506698371,484.03989156777203,0.8021554593656963,0.03462819999549538,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 1, ""random_state"": 42}",2,1,100,42
jain,CLARANS,373,2,0.5146169826822441,0.5052245720315265,0.8605898123324397,0.5022429996789218,485.60661097994694,0.8002466869874321,0.04472090001218021,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 3, ""random_state"": 42}",2,3,20,42
jain,CLARANS,373,2,0.3679315699737273,0.41471900611601764,0.8042895442359249,0.47966675183302854,447.0239382305415,0.8370729901378583,0.1186656000209041,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 3, ""random_state"": 42}",2,3,60,42
jain,CLARANS,373,2,0.3940088948406959,0.430081707946684,0.8150134048257373,0.4838545262344654,455.39182488538785,0.8307017508865124,0.14921550001599826,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 3, ""random_state"": 42}",2,3,100,42
jain,CLARANS,373,2,0.5146169826822441,0.5052245720315265,0.8605898123324397,0.5022429996789218,485.60661097994694,0.8002466869874321,0.039829199988162145,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 5, ""random_state"": 42}",2,5,20,42
jain,CLARANS,373,2,0.37437189362141954,0.4184888659046067,0.806970509383378,0.48070661250354735,449.1557522027558,0.8355311483517439,0.11860309998155572,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 5, ""random_state"": 42}",2,5,60,42
jain,CLARANS,373,2,0.47744678160577797,0.48125127300048803,0.8471849865951743,0.49669639157764184,477.61084608935835,0.8099259415808949,0.22009350001462735,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 5, ""random_state"": 42}",2,5,100,42
spiral,CLARANS,1000,2,0.054786187709231424,0.0428614677755884,0.618,0.3494242617092591,603.6348265403813,1.1408970771101403,0.012249399995198473,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 1, ""random_state"": 42}",2,1,20,42
spiral,CLARANS,1000,2,0.073056499776954,0.05407738934879073,0.636,0.35409026090660495,621.309055909752,1.154640762873429,0.06363089999649674,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 1, ""random_state"": 42}",2,1,60,42
spiral,CLARANS,1000,2,0.073056499776954,0.05407738934879073,0.636,0.35409026090660495,621.309055909752,1.154640762873429,0.0711721999978181,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 1, ""random_state"": 42}",2,1,100,42
spiral,CLARANS,1000,2,0.05859365130260521,0.04338277071471374,0.622,0.3546672461600264,633.9428921575405,1.14626172366193,0.044799900002544746,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 3, ""random_state"": 42}",2,3,20,42
spiral,CLARANS,1000,2,0.073056499776954,0.05407738934879073,0.636,0.35409026090660495,621.309055909752,1.154640762873429,0.10299009998561814,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 3, ""random_state"": 42}",2,3,60,42
spiral,CLARANS,1000,2,0.0708940235098021,0.052453584750056625,0.634,0.35416867417571596,622.7063906801777,1.1538263355331762,0.20647259999532253,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 3, ""random_state"": 42}",2,3,100,42
spiral,CLARANS,1000,2,0.05859365130260521,0.04338277071471374,0.622,0.3546672461600264,633.9428921575405,1.14626172366193,0.05998310001450591,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 5, ""random_state"": 42}",2,5,20,42
spiral,CLARANS,1000,2,0.08908819095650194,0.06593346660715704,0.65,0.35290940793586345,605.3911443417114,1.1664352491334757,0.1609914000146091,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 5, ""random_state"": 42}",2,5,60,42
spiral,CLARANS,1000,2,0.05012517815581091,0.03716398053187129,0.613,0.35469004282535505,637.948751301031,1.1437966689676617,0.3798700000043027,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 5, ""random_state"": 42}",2,5,100,42
