dataset,algorithm,n_samples,n_clusters,ari,nmi,purity,silhouette,calinski_harabasz,davies_bouldin,runtime_seconds,parameters,k,numlocal,maxneighbor,random_state
flame,CLARANS,240,2,0.43102068941933036,0.36742544888578876,0.8291666666666667,0.372520930695323,152.01794272402472,1.1334180468940571,0.00795780000044033,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 1, ""random_state"": 42}",2,1,20,42
flame,CLARANS,240,2,0.45350042255159556,0.4192963388308115,0.8375,0.358979139273643,136.3661555466455,1.1618758951351917,0.02897430001758039,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 1, ""random_state"": 42}",2,1,60,42
flame,CLARANS,240,2,0.46487207541607295,0.4390500818443398,0.8416666666666667,0.35877029361370594,136.87833138205025,1.16122055830438,0.03710690001025796,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 1, ""random_state"": 42}",2,1,100,42
flame,CLARANS,240,2,0.46487207541607295,0.43905008184433975,0.8416666666666667,0.35877029361370594,136.87833138205025,1.16122055830438,0.021979200013447553,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 3, ""random_state"": 42}",2,3,20,42
flame,CLARANS,240,2,0.46487207541607295,0.4390500818443398,0.8416666666666667,0.3580057081232229,136.1186703073911,1.1627168380221944,0.05699710000772029,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 3, ""random_state"": 42}",2,3,60,42
flame,CLARANS,240,2,0.46487207541607295,0.4390500818443398,0.8416666666666667,0.35877029361370594,136.87833138205025,1.16122055830438,0.12023070000577718,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 3, ""random_state"": 42}",2,3,100,42
flame,CLARANS,240,2,0.46487207541607295,0.43905008184433975,0.8416666666666667,0.35877029361370594,136.87833138205025,1.16122055830438,0.04578590000164695,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 5, ""random_state"": 42}",2,5,20,42
flame,CLARANS,240,2,0.46487207541607295,0.4390500818443398,0.8416666666666667,0.3580057081232229,136.1186703073911,1.1627168380221944,0.1115136000153143,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 5, ""random_state"": 42}",2,5,60,42
flame,CLARANS,240,2,0.46487207541607295,0.4390500818443398,0.8416666666666667,0.35877029361370594,136.87833138205025,1.16122055830438,0.2713168000045698,"{""k"": 2, ""maxneighbor"": 100, ""numlocal"": 5, ""random_state"": 42}",2,5,100,42
jain,CLARANS,373,2,0.6698224958508326,0.6160264846391218,0.9115281501340483,0.48597169556156583,432.5702587598212,0.814088041112679,0.0076932999945711344,"{""k"": 2, ""maxneighbor"": 20, ""numlocal"": 1, ""random_state"": 42}",2,1,20,42
