dataset,algorithm,n_samples,n_clusters,ari,nmi,purity,silhouette,calinski_harabasz,davies_bouldin,sample_size,repeat,runtime_seconds,parameters
flame,CLARANS,100,2,0.4850784736734667,0.4329295777565164,0.85,0.38563126032762973,67.3975006617905,1.0528111378040803,100,0,0.06009519999861368,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
flame,ROCK,100,2,0.8062636357029608,0.7450447938890589,0.95,0.3666312384640226,56.08339478253462,0.9475575563736,100,0,0.014857499998470303,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
flame,CLARANS,100,2,0.4302896085940463,0.4759210581775134,0.83,0.3936878632591718,70.16364344987802,1.0768886866359315,100,1,0.06777259999944363,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
flame,ROCK,100,2,0.017082785808147174,0.030115342121112675,0.66,0.2844441813376219,3.519116828592358,0.5017464719381989,100,1,0.01472970000031637,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
flame,CLARANS,100,2,0.4300865536998659,0.3634843355123089,0.83,0.37075804807851903,63.45828772442677,1.109301361612242,100,2,0.07588580000083311,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
flame,ROCK,100,3,-0.013977294831483729,0.025660897470832236,0.61,0.19924904963341084,2.5096274999973103,0.5910709501306614,100,2,0.016018599999370053,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
flame,CLARANS,200,2,0.41968972355068235,0.419955240960246,0.825,0.3547919316225635,113.90780741598185,1.1676203443390722,200,0,0.09043490000112797,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
flame,ROCK,200,2,0.007017603989495015,0.014462416629966971,0.635,0.268498853586684,3.2377083935135382,0.5213207855032339,200,0,0.07275669999944512,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
flame,CLARANS,200,2,0.4598555995874274,0.44556973251581883,0.84,0.3649174759980913,121.78390471656562,1.1366973072781694,200,1,0.08615180000197142,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
flame,ROCK,200,3,0.014116740710901627,0.027784683992027895,0.64,0.26001581512827454,3.4079546597187056,0.5117691186973258,200,1,0.13518610000028275,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
flame,CLARANS,200,2,0.47351788832558345,0.413074017295179,0.845,0.37759261353489065,131.29068023229505,1.112593447566335,200,2,0.08909449999919161,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
flame,ROCK,200,3,0.014851623577855652,0.02827318071216649,0.645,0.26258100037651944,3.4375091790289143,0.5108783290255373,200,2,0.08836720000181231,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,100,2,0.18805039828588418,0.29717645050278835,0.79,0.465608724574024,104.87681614223332,0.8685363014640969,100,0,0.10563879999972414,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
