dataset,algorithm,n_samples,n_clusters,ari,nmi,purity,silhouette,calinski_harabasz,davies_bouldin,sample_size,repeat,runtime_seconds,parameters
jain,ROCK,100,5,0.96106774456535,0.863291804868031,1.0,0.31763751833447507,26.4842837321103,0.562910907841839,100,0,0.011521700002049329,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,100,2,0.285728951718049,0.3762393437973432,0.77,0.47492735115245105,117.66619019503125,0.8288844202491888,100,1,0.06356750000122702,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
jain,ROCK,100,5,0.37198886155024824,0.3154010117138209,0.84,0.21544078165946076,11.522788129219252,0.5609908383947058,100,1,0.01496430000042892,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,100,2,0.39591112645683046,0.4139397519525087,0.82,0.5262251474072683,141.20956061841864,0.7357836066781389,100,2,0.08068909999929019,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
jain,ROCK,100,6,0.25559528053871966,0.20998114014564495,0.84,-0.18761568443463772,2.3117176141533897,1.2719475592856722,100,2,0.028512099997897167,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,200,2,0.48140362133873715,0.47749573215018387,0.85,0.48030468121123954,230.93863957791712,0.8457470024419437,200,0,0.1173850000013772,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
jain,ROCK,200,2,1.0,1.0,1.0,0.44397133972310665,173.58776782830412,0.8312262521426746,200,0,0.07747829999789246,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,200,2,0.46867560938195174,0.471184853200081,0.845,0.48643128374078304,238.70548226535598,0.8312045564561367,200,1,0.057517000001098495,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
jain,ROCK,200,2,0.2840866336499821,0.26421776847695905,0.825,0.368171945181072,52.68811239237873,0.6734201798734676,200,1,0.06167920000007143,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
jain,CLARANS,200,2,0.3450240882998616,0.40373278082714087,0.795,0.46925964093803146,218.41043549002046,0.87740774677499,200,2,0.13888289999886183,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
jain,ROCK,200,4,0.05263824314273932,0.06018607481729649,0.75,0.11879456933069577,2.4293301959983085,0.6365591452685736,200,2,0.10535150000214344,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,100,2,0.01575757575757576,0.019300200060396108,0.58,0.3639694151187831,63.23342844811766,1.1128847174465417,100,0,0.08711200000107056,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
spiral,ROCK,100,2,-0.006310881422710065,0.0029893328566118023,0.53,0.3377597470033012,49.43703418319191,1.2432316446682947,100,0,0.036211000002367655,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,100,2,0.13571016812431216,0.10922597610343272,0.69,0.3613273599026708,57.702576437052876,1.1522287048120958,100,1,0.05454299999837531,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
spiral,ROCK,100,2,0.13571016812431216,0.10922597610343272,0.69,0.3613273599026708,57.702576437052876,1.1522287048120958,100,1,0.021744200003013248,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,100,2,0.047877346629403184,0.03562741584578636,0.62,0.3516893943175184,54.73869945896474,1.152521524182554,100,2,0.053304400000342866,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
spiral,ROCK,100,2,0.005453571602473584,0.022304342175885793,0.57,0.15640733555452307,2.2104004958134555,0.6256200819397836,100,2,0.018930999998701736,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,200,2,0.09155733014688021,0.07098031083422124,0.655,0.3711750428049341,138.97561847485943,1.080771971150784,200,0,0.08167390000016894,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
spiral,ROCK,200,2,0.08540588806891299,0.06597001273416882,0.65,0.358240491915172,116.70300560407647,1.1601217968665123,200,0,0.09757750000062515,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,200,2,0.020692082725664813,0.019011284680913707,0.58,0.375177355786049,140.72051999871576,1.0718289473989957,200,1,0.08871169999838457,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
spiral,ROCK,200,2,0.04379082189784277,0.04194518186017661,0.61,0.3754680556646291,133.18192610121227,1.0450506697783413,200,1,0.11054650000005495,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,200,2,0.03518215542730643,0.02981519345758781,0.6,0.371662388870838,140.60364894245816,1.0845692214875837,200,2,0.07456399999864516,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
spiral,ROCK,200,2,-0.0050304370218435335,0.004652643408279414,0.54,0.26409486923575803,70.11083155305457,1.0783675093647311,200,2,0.09329929999876185,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,400,2,0.1133815339392223,0.08550923218440645,0.67,0.3817373523777846,279.33335896574965,1.0729394854647647,400,0,0.08844200000021374,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
spiral,ROCK,400,2,0.10339215658917572,0.08180114310862871,0.6625,0.3555010735433548,234.0755009314481,1.1466570682170871,400,0,0.3298374000005424,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,400,2,0.008553839080113215,0.008146663722340835,0.5525,0.3575432669089435,256.6148445776285,1.1362315943529797,400,1,0.0905373999994481,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
spiral,ROCK,400,2,0.043733674573230255,0.0408020865018374,0.6075,0.350399512589817,237.3865094964489,1.15076647533997,400,1,0.33234169999923324,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,400,2,0.0031333054636723825,0.004331690491328981,0.5375,0.3512400235379245,243.49219063785435,1.1645035525613263,400,2,0.052533000001858454,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
spiral,ROCK,400,2,0.026464316196564204,0.021209862829711656,0.585,0.33997347464600963,201.29245308844747,1.2542544441495385,400,2,0.32614770000145654,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,800,2,0.052871943712428,0.03948546714791941,0.61625,0.35514908773103926,515.0191484188616,1.1371295901299119,800,0,0.09068119999938062,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 42}"
spiral,ROCK,800,2,0.05172222119626433,0.03822362180413444,0.615,0.32317323127057074,362.65433526694915,1.2790346143489082,800,0,2.0902938000035647,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,800,2,0.07585047813067876,0.05616186244770268,0.63875,0.3520401223714205,441.178726070286,1.196911280025932,800,1,0.09597260000009555,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 43}"
spiral,ROCK,800,2,0.09342225143654292,0.0692762558942454,0.65375,0.3539133954444688,457.4009653006343,1.1831737620102407,800,1,1.9105357999978878,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
spiral,CLARANS,800,2,0.06258388649366226,0.04637665265655452,0.62625,0.36473029220720293,529.7003148971062,1.1177124707860875,800,2,0.10212999999930616,"{""k"": 2, ""maxneighbor"": 60, ""numlocal"": 4, ""random_state"": 44}"
spiral,ROCK,800,2,0.08886447311729459,0.0657914639435354,0.65,0.36430311810076593,513.3165744160681,1.1284154635668562,800,2,1.8936333999990893,"{""k"": 2, ""theta"": null, ""theta_percentile"": null}"
